time,eu_24,eu_17
2025-04-20 15:30:00,642.3208,590.6738
2025-04-20 15:35:00,648.0287999999999,610.629
2025-04-20 15:40:00,673.5069,648.8444
2025-04-20 15:45:00,702.0995,656.4879999999999
2025-04-20 15:50:00,728.9482,680.1596999999999
2025-04-20 15:55:00,658.5136,600.9873
2025-04-20 16:00:00,567.8777,552.024
2025-04-20 16:05:00,532.6854,499.7872
2025-04-20 16:10:00,628.2128,590.6652
2025-04-20 16:15:00,493.7793,471.9531
2025-04-20 16:20:00,549.5121,519.6120000000001
2025-04-20 16:25:00,481.5291,438.7264
2025-04-20 16:30:00,430.336,417.0326
2025-04-20 16:35:00,539.9018,534.4872
2025-04-20 16:40:00,634.6320000000001,572.2932999999999
2025-04-20 16:45:00,540.4943,502.2619
2025-04-20 16:50:00,547.816,500.3055
2025-04-20 16:55:00,490.9823999999999,431.6571
2025-04-20 17:00:00,348.53520000000003,314.92819999999995
2025-04-20 17:05:00,281.19,259.10040000000004
2025-04-20 17:10:00,204.1133,155.27530000000002
2025-04-20 17:15:00,200.097,133.632
2025-04-20 17:20:00,200.202,134.21800000000002
2025-04-20 17:25:00,161.06879999999998,135.37
2025-04-20 17:30:00,199.497,173.37580000000003
2025-04-20 17:35:00,233.324,200.121
2025-04-20 17:40:00,266.968,208.475
2025-04-20 17:45:00,185.122,179.57160000000002
2025-04-20 17:50:00,98.931,87.4406
2025-04-20 17:55:00,67.807,65.93400000000001
2025-04-20 18:00:00,67.138,40.7166
2025-04-20 18:05:00,67.13,53.5784
2025-04-20 18:10:00,53.0496,27.0444
2025-04-20 18:15:00,67.08300000000001,40.4664
2025-04-20 18:20:00,99.2295,66.593
2025-04-20 18:25:00,100.2735,67.554
2025-04-20 18:30:00,66.70800000000001,47.28150000000001
2025-04-20 18:35:00,67.099,6.7012
2025-04-20 18:40:00,53.4432,6.724
2025-04-21 06:50:00,58.672,40.56150000000001
2025-04-21 06:55:00,100.899,73.6296
2025-04-21 07:00:00,134.16600000000005,107.9184
2025-04-21 07:05:00,160.6032,134.6
2025-04-21 07:10:00,167.0,150.0378
2025-04-21 07:15:00,221.529,201.876
2025-04-21 07:20:00,345.2592,310.04
2025-04-21 07:25:00,421.27470000000005,379.65760000000006
